id,graduatingYear,overallScore,curriculum,jobSupport,school_id
280984,2021,5.0,5.0,5.0,11035
280932,2021,4.7,4.0,5.0,11035
280853,2021,5.0,5.0,5.0,11035
280843,2021,5.0,5.0,5.0,11035
280794,2021,5.0,5.0,5.0,11035
280783,2021,5.0,5.0,5.0,11035
280775,2021,4.7,4.0,5.0,11035
280743,2021,4.3,4.0,5.0,11035
280725,2021,4.0,4.0,4.0,11035
280707,2021,5.0,5.0,5.0,11035
280648,2021,4.7,5.0,5.0,11035
280579,2020,5.0,5.0,5.0,11035
280519,2021,5.0,5.0,5.0,11035
280452,2021,3.7,4.0,3.0,11035
280447,2021,5.0,5.0,5.0,11035
280437,2021,3.7,4.0,3.0,11035
280391,2021,4.3,4.0,5.0,11035
280319,2021,5.0,5.0,5.0,11035
280284,2021,5.0,5.0,5.0,11035
280209,2021,5.0,5.0,5.0,11035
280071,2021,5.0,5.0,5.0,11035
280058,2021,4.7,5.0,5.0,11035
280054,2021,4.7,5.0,4.0,11035
280028,2021,4.3,4.0,4.0,11035
280013,2021,4.7,5.0,4.0,11035
279997,2021,5.0,5.0,5.0,11035
279984,2021,4.7,5.0,5.0,11035
279957,2021,5.0,5.0,5.0,11035
279941,2021,5.0,5.0,5.0,11035
279892,2021,5.0,5.0,5.0,11035
279807,2021,4.7,5.0,4.0,11035
279804,2021,5.0,5.0,5.0,11035
279795,2021,4.3,5.0,3.0,11035
279776,2021,5.0,5.0,5.0,11035
279770,2021,5.0,5.0,5.0,11035
279769,2021,5.0,5.0,5.0,11035
279757,2021,5.0,5.0,5.0,11035
279729,2021,4.7,5.0,5.0,11035
279728,2021,4.7,4.0,5.0,11035
279682,2021,4.7,5.0,4.0,11035
279582,2021,5.0,5.0,5.0,11035
279522,2021,4.3,4.0,4.0,11035
279515,2021,5.0,5.0,5.0,11035
279508,2021,4.7,5.0,5.0,11035
279437,2021,5.0,5.0,5.0,11035
279403,2021,4.7,5.0,4.0,11035
279381,2021,5.0,5.0,5.0,11035
279363,2021,4.7,5.0,4.0,11035
279317,2021,5.0,5.0,5.0,11035
279282,2021,4.0,4.0,4.0,11035
279243,2021,5.0,5.0,5.0,11035
279223,2021,5.0,5.0,5.0,11035
279221,2021,5.0,5.0,5.0,11035
279216,2021,5.0,5.0,5.0,11035
279215,2021,5.0,5.0,5.0,11035
279201,2021,5.0,5.0,5.0,11035
279197,2021,5.0,5.0,5.0,11035
279193,2021,4.0,3.0,5.0,11035
279179,2021,5.0,5.0,5.0,11035
279177,2021,5.0,5.0,5.0,11035
279175,2021,4.7,4.0,5.0,11035
279173,2021,5.0,5.0,5.0,11035
279165,2021,5.0,5.0,5.0,11035
279135,2021,4.3,4.0,4.0,11035
279132,2021,3.7,4.0,3.0,11035
279106,2021,4.0,5.0,3.0,11035
279074,2021,5.0,5.0,5.0,11035
279015,2021,5.0,5.0,5.0,11035
279012,2021,4.0,4.0,4.0,11035
278936,2021,5.0,5.0,5.0,11035
278848,2021,5.0,5.0,5.0,11035
278828,2021,5.0,5.0,5.0,11035
278777,2021,4.7,4.0,5.0,11035
278689,2021,5.0,5.0,5.0,11035
278663,2021,4.7,4.0,5.0,11035
278655,2021,5.0,5.0,5.0,11035
278648,2021,5.0,5.0,5.0,11035
278647,2021,5.0,5.0,5.0,11035
278644,2021,4.7,4.0,5.0,11035
278602,2021,5.0,5.0,5.0,11035
278597,2021,4.7,5.0,4.0,11035
278590,2021,4.3,3.0,5.0,11035
278587,2021,4.0,5.0,3.0,11035
278537,2021,5.0,5.0,5.0,11035
278526,2021,4.7,4.0,5.0,11035
278511,2021,5.0,5.0,5.0,11035
278509,2021,4.0,4.0,5.0,11035
278507,2021,4.0,5.0,3.0,11035
278501,2021,5.0,5.0,5.0,11035
278493,2021,5.0,5.0,5.0,11035
278456,2021,4.7,4.0,5.0,11035
278454,2021,4.0,4.0,4.0,11035
278451,2021,4.7,4.0,5.0,11035
278444,2021,3.0,3.0,3.0,11035
278423,2021,5.0,5.0,5.0,11035
278416,2021,4.3,4.0,5.0,11035
278399,2021,5.0,5.0,5.0,11035
278375,2021,4.7,5.0,4.0,11035
278372,2021,4.7,4.0,5.0,11035
278371,2021,5.0,5.0,5.0,11035
278282,2021,4.7,4.0,5.0,11035
278276,2021,5.0,5.0,5.0,11035
278264,2021,4.7,5.0,4.0,11035
278211,2021,4.7,5.0,4.0,11035
278202,2021,4.7,5.0,4.0,11035
278029,2021,5.0,5.0,5.0,11035
277936,2021,3.3,3.0,3.0,11035
277927,2021,5.0,5.0,5.0,11035
277878,2021,5.0,5.0,5.0,11035
277408,2021,5.0,5.0,5.0,11035
277379,2021,5.0,5.0,5.0,11035
277229,2021,5.0,5.0,5.0,11035
277044,2021,4.7,4.0,5.0,11035
277043,2021,5.0,5.0,5.0,11035
277041,2021,4.3,4.0,5.0,11035
